category_id,product_name,sku,qty,price,discount_percentage,brand ,size,status ,contact,color,bike ,car,van,weight(kg),height(cm),width(cm),length(cm),product_image
29,5 PACK 75mm Chrome Vanadium Steel Jigsaw Blade - 6 TPI - Side Set Teeth - Wood,3808135634848,0,5.99,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/5-pack-75mm-chrome-vanadium-steel-jigsaw-blade-6-tpi-side-set-teeth-wood~5056581948571_01c_MP?wid=284&hei=284
29,DEWALT - FlexVolt XR Metal Reciprocating Blade 152mm 14/18 TPI Pack of 5,3798320335326,0,43.55,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-flexvolt-xr-metal-reciprocating-blade-152mm-14-18-tpi-pack-of-5~5035048542132_01c_MP?wid=284&hei=284
29,Faithfull - TCT Circular Saw Blade Zero Degree 216 x 30mm x 48T,3788505035804,0,37.47,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/faithfull-tct-circular-saw-blade-zero-degree-216-x-30mm-x-48t~5023969216430_01c_MP?wid=284&hei=284
29,Faithfull - TCT Circular Saw Blade 180 x 30mm x 40T POS,3778689736282,0,26.52,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/faithfull-tct-circular-saw-blade-180-x-30mm-x-40t-pos~5023969216379_01c_MP?wid=284&hei=284
29,5 PACK - 92mm METAL Jigsaw Blade Set - 11 / 14 TPI - Milled & Wavy Teeth Fine,3768874436760,0,8.49,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/5-pack-92mm-metal-jigsaw-blade-set-11-14-tpi-milled-wavy-teeth-fine~5056581919151_01c_MP?wid=284&hei=284
29,DEWALT - Bi-Metal 1in High Metal Reciprocating Blade 152mm x 14 TPI (Pack 5),3759059137238,0,22.13,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-bi-metal-1in-high-metal-reciprocating-blade-152mm-x-14-tpi-pack-5-~5054905250324_01c_MP?wid=284&hei=284
29,DEWALT - Extreme Runtime FlexVolt Mitre Saw Blade 250 x 30mm x 36T,3749243837716,0,60.94,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-extreme-runtime-flexvolt-mitre-saw-blade-250-x-30mm-x-36t~5035048542330_01c_MP?wid=284&hei=284
29,DEWALT - XR FlexVolt Mitre Saw Blade 305 x 30mm x 60T,3739428538194,0,139.49,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-xr-flexvolt-mitre-saw-blade-305-x-30mm-x-60t~5035048542378_01c_MP?wid=284&hei=284
29,DEWALT - XPC Bi-Metal Wood Jigsaw Blades Pack of 3 T101DF,3729613238672,0,16.21,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-xpc-bi-metal-wood-jigsaw-blades-pack-of-3-t101df~5035048075104_01c_MP?wid=284&hei=284
29,Faithfull - S1111DF Bi-Metal Sabre Saw Blade Demolition 228mm 6 TPI (Pack of 5),3719797939150,0,19.24,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/faithfull-s1111df-bi-metal-sabre-saw-blade-demolition-228mm-6-tpi-pack-of-5-~5023969314259_01c_MP?wid=284&hei=284
29,DEWALT - XR Wood with Nails Reciprocating Blade 152mm 4/6 TPI Pack of 5,3709982639628,0,48.67,0,null,null,1,7976621849,null,1,0,0,0.41,44,33,29.5,https://media.diy.com/is/image/KingfisherDigital/dewalt-xr-wood-with-nails-reciprocating-blade-152mm-4-6-tpi-pack-of-5~5035048542149_01c_MP?wid=284&hei=284
